N?m sinh,Gi?i tính,Trình ?? h?c v?n,Tình tr?ng hôn nhân,Th?i gian s? d?ng Facebook m?i ngày,S? l??ng b?n bè trên Facebook,S? bài ??ng m?i ngày,Lo?i n?i dung yêu thích,S? thích cá nhân,M?c ?? th? hi?n c?m xúc trên Facebook,M?c ?? bình lu?n trên Facebook,T?n su?t mua s?m trên Facebook
1991,Female,Master's,Married,1.5 hours,250,3,Image,"Cooking, Gardening",3,7,Once every two months
1993,Male,High School,Single,3 hours,450,5,Text,"Technology, Science",59,21,2 times per week
1996,Female,High School,In a Relationship,4 hours,800,4,Video,"Sports, Gaming",60,35,Once per week
1990,Male,Bachelor's,Married,2 hours,300,3,Text,"DIY, Home Improvement",32,19,Once per month
2004,Female,Master's,Single,3.5 hours,550,1,Video,"Fashion, Beauty",19,4,2 times per week
1997,Male,High School,Divorced,1 hour,200,5,Text,"Business, Finance",68,21,Once every three months
2001,Female,High School,Single,5 hours,1050,3,Image,"Travel, Photography",64,27,Daily
1994,Male,Bachelor's,Married,2 hours,350,1,Video,"Music, Literature",40,16,Once per month
1996,Female,Master's,In a Relationship,3 hours,400,2,Text,"Sports, Travel",0,5,Once per week
2000,Male,High School,Single,4 hours,850,2,Video,"Social Media, Dance",50,29,3 times per week
1999,Female,High School,Married,1.5 hours,250,5,Image,"Technology, Science",44,31,Once every two months
1991,Male,Bachelor's,Single,3 hours,450,3,Text,"Cooking, Gardening",48,15,2 times per week
1999,Female,Master's,In a Relationship,2 hours,300,3,Video,"Politics, Current Events",16,7,Once per week
1995,Male,High School,Single,4.5 hours,1250,6,Image,"DIY, Home Improvement",67,30,Daily
1990,Female,Bachelor's,Single,3.5 hours,500,2,Video,"Music, Movies",30,20,2 times per week
1992,Male,Master's,Married,1 hour,200,0,Text,"Business, Finance",8,10,Once per month
2003,Female,High School,Single,5 hours,1050,5,Image,"DIY, Home Improvement",40,22,Daily
1993,Male,Doctoral,Divorced,2 hours,350,1,Text,"Music, Literature",0,4,Once per quarter
2005,Female,High School,Single,4 hours,850,5,Video,"Sports, Gaming",60,31,3 times per week
1998,Male,Bachelor's,Married,1.5 hours,250,4,Image,"Technology, Science",35,14,Once every two months
1992,Female,High School,Single,3 hours,450,4,Text,"Cooking, Gardening",42,33,2 times per week
1995,Male,Master's,In a Relationship,2.5 hours,300,0,Video,"Politics, Current Events",7,9,Once per week
1998,Female,High School,Single,4.5 hours,1250,3,Image,"Social Media, Dance",56,25,Daily
1996,Male,Bachelor's,Married,1 hour,150,0,Text,"Travel, Photography",49,13,Once every three months
1990,Female,Master's,Single,3 hours,400,1,Video,"Music, Movies",0,6,2 times per week
1992,Male,High School,In a Relationship,2 hours,350,3,Text,"Sports, Travel",65,27,Once per week
2002,Female,High School,Single,4.5 hours,950,3,Image,"DIY, Home Improvement",42,27,Daily
1994,Male,Bachelor's,Married,1 hour,100,2,Text,"Business, Finance",30,14,Once per month
1997,Female,High School,Single,5 hours,1100,5,Video,"Fashion, Beauty",52,31,Daily
2001,Male,High School,Single,4 hours,850,2,Video,"Sports, Gaming",55,31,3 times per week
1998,Female,Bachelor's,Married,1.5 hours,250,2,Image,"Technology, Science",33,15,Once every two months
1992,Male,High School,Single,3 hours,450,4,Text,"Cooking, Gardening",57,35,2 times per week
1998,Female,Master's,In a Relationship,2.5 hours,300,3,Video,"Politics, Current Events",2,7,Once per week
1998,Male,High School,Single,4.5 hours,1250,5,Image,"Social Media, Dance",49,27,Daily
1995,Female,Bachelor's,Married,1 hour,150,0,Text,"Travel, Photography",44,19,Once every three months
1990,Male,Master's,Single,3 hours,400,3,Video,"Music, Movies",4,7,2 times per week
1994,Female,High School,In a Relationship,2 hours,350,4,Text,"Sports, Travel",43,31,Once per week
2002,Male,High School,Single,4.5 hours,950,4,Image,"DIY, Home Improvement",54,33,Daily
1997,Female,Bachelor's,Married,1 hour,100,3,Text,"Business, Finance",31,13,Once per month
1997,Male,High School,Single,5 hours,1100,3,Video,"Fashion, Beauty",54,31,Daily
1996,Female,Bachelor's,Single,2.5 hours,400,2,Video,"Music, Movies",34,11,2 times per week
1993,Male,Master's,Married,1.5 hours,250,1,Image,"Cooking, Gardening",13,0,Once every two months
1993,Female,High School,Single,3 hours,450,3,Text,"Technology, Science",43,24,2 times per week
1994,Male,High School,In a Relationship,4 hours,800,5,Video,"Sports, Gaming",41,21,Once per week
1991,Female,Master's,In a Relationship,2 hours,300,1,Video,"Politics, Current Events",16,1,Once per week
1994,Male,High School,Single,4.5 hours,1250,1,Image,"Social Media, Dance",58,31,Daily
1995,Female,Bachelor's,Married,1 hour,150,0,Text,"Travel, Photography",32,13,Once every three months
1999,Male,Master's,Single,3 hours,400,3,Video,"Music, Movies",7,4,2 times per week
1991,Female,High School,In a Relationship,2 hours,350,3,Text,"Sports, Travel",47,29,Once per week
2003,Male,High School,Single,4.5 hours,950,1,Image,"DIY, Home Improvement",45,26,Daily
1993,Female,Bachelor's,Married,1 hour,100,4,Text,"Business, Finance",44,15,Once per month
1997,Male,High School,Single,5 hours,1100,3,Video,"Fashion, Beauty",58,35,Daily
1999,Female,Master's,Single,2.5 hours,400,2,Video,"Music, Movies",8,5,2 times per week
1998,Male,Bachelor's,Married,1.5 hours,250,3,Image,"Cooking, Gardening",39,12,Once every two months
1993,Female,High School,Single,3 hours,450,3,Text,"Technology, Science",53,22,2 times per week
1996,Male,High School,In a Relationship,4 hours,800,5,Video,"Sports, Gaming",51,35,Once per week
1999,Female,Bachelor's,Married,2 hours,300,3,Text,"DIY, Home Improvement",39,18,Once per month
2004,Male,Master's,Single,3.5 hours,550,2,Video,"Fashion, Beauty",11,4,2 times per week
1997,Female,High School,Divorced,1 hour,200,0,Text,"Business, Finance",63,29,Once every three months
1990,Female,Bachelor's,Single,3.5 hours,500,1,Video,"Music, Movies",31,20,2 times per week
1992,Male,Master's,Married,1 hour,200,0,Text,"Business, Finance",4,0,Once per month
2003,Female,High School,Single,5 hours,1050,2,Image,"DIY, Home Improvement",65,25,Daily
1993,Male,Doctoral,Divorced,2 hours,350,1,Text,"Music, Literature",4,5,Once per quarter
2005,Female,High School,Single,4 hours,850,6,Video,"Sports, Gaming",61,32,3 times per week
1998,Male,Bachelor's,Married,1.5 hours,250,1,Image,"Technology, Science",48,10,Once every two months
1992,Female,High School,Single,3 hours,450,6,Text,"Cooking, Gardening",42,31,2 times per week
1990,Male,Master's,In a Relationship,2.5 hours,300,1,Video,"Politics, Current Events",14,0,Once per week
1998,Female,High School,Single,4.5 hours,1250,3,Image,"Social Media, Dance",65,34,Daily
1990,Male,Bachelor's,Married,1 hour,150,0,Text,"Travel, Photography",43,15,Once every three months
1990,Female,Master's,Single,3 hours,400,3,Video,"Music, Movies",2,5,2 times per week
1991,Male,High School,In a Relationship,2 hours,350,4,Text,"Sports, Travel",51,29,Once per week
2002,Female,High School,Single,4.5 hours,950,5,Image,"DIY, Home Improvement",47,28,Daily
1994,Male,Bachelor's,Married,1 hour,100,4,Text,"Business, Finance",36,14,Once per month
1997,Female,High School,Single,5 hours,1100,5,Video,"Fashion, Beauty",69,29,Daily
1990,Male,Unknown,Married,8 hours,2000,6,Video,"Music, Movies",120,50,Once every two months
1992,Female,Unknown,In a Relationship,10 hours,1400,0,Video,"Sports, Gaming",150,41,Daily
1995,Female,Bachelor's,In a Relationship,3 hours,700,3,Image,Hiking,65,25,2 times per week
1990,Male,Doctoral,Single,2.5 hours,500,2,Video,Technology,70,32,Daily
2006,Male,High School,Married,4 hours,800,5,Text,Fishing,45,18,Once every two months
2001,Female,Bachelor's,Single,5 hours,1200,6,Video,Reading,80,40,3 times per week
2003,Male,Master's,In a Relationship,1.5 hours,300,1,Image,Cooking,90,42,4 times per week
1991,Female,Unknown,Divorced,6.5 hours,950,1,Text,Photography,15,5,Once per year
1992,Male,Bachelor's,Single,2 hours,400,2,Video,Painting,75,35,2 times per week
2002,Female,Bachelor's,Married,3 hours,800,1,Video,Music,60,22,Once per month
2006,Male,High School,Single,4.5 hours,750,2,Text,Sports,85,38,Daily
1990,Male,Master's,In a Relationship,6 hours,1100,4,Image,Travel,95,45,3 times per week
1997,Female,Master's,Married,4 hours,1224,0,Video,Gardening,50,20,Once every two months
1998,Male,Bachelor's,Single,2 hours,1450,2,Video,Movies,75,30,4 times per week
2001,Female,High School,In a Relationship,3 hours,1203,4,Image,Dancing,85,40,Daily
2000,Male,High School,Divorced,1.5 hours,1740,2,Image,Gaming,10,3,Once per year
2000,Female,Bachelor's,Single,3 hours,700,1,Text,Reading,70,32,2 times per week
1999,Male,Bachelor's,Married,5 hours,650,5,Text,Cooking,55,25,Once per month
1998,Female,High School,Single,3.5 hours,450,3,Video,Sports,80,38,3 times per week
2002,Female,Bachelor's,Married,2.5 hours,850,0,Image,Photography,75,30,3 times per week
2004,Male,High School,Single,5 hours,940,1,Video,Cooking,20,10,Once per quarter
1995,Female,Bachelor's,Single,3 hours,700,3,Image,Fashion,95,45,Daily
1993,Male,Doctoral,In a Relationship,2.5 hours,500,2,Video,Travel,60,25,2 times per week
2001,Male,High School,Married,4 hours,800,5,Text,Gardening,40,15,Once every two months
1990,Female,Bachelor's,Divorced,5 hours,1200,0,Video,Yoga,5,2,Once per year
1990,Male,Master's,In a Relationship,1.5 hours,300,1,Image,Reading,85,40,4 times per week
1993,Female,Unknown,Single,6.5 hours,950,3,Text,Sports,70,35,Daily
1995,Male,Bachelor's,Married,2 hours,400,2,Video,Movies,55,20,Once per month
1998,Female,High School,Single,4.5 hours,850,4,Image,Music,80,38,3 times per week
1997,Female,Master's,Single,3 hours,600,3,Video,Reading,70,30,Daily
2003,Male,High School,In a Relationship,3.5 hours,750,5,Text,Travel,85,35,2 times per week
1992,Female,Bachelor's,Married,4 hours,800,5,Image,Cooking,55,20,Once per month
1990,Male,Master's,Single,3.5 hours,720,3,Video,Sports,80,38,3 times per week
1993,Female,High School,In a Relationship,5 hours,950,6,Text,Music,90,42,Daily
1998,Male,Bachelor's,Divorced,3 hours,600,2,Video,Photography,15,5,Once per year
1995,Female,Master's,Single,4.5 hours,850,4,Image,Painting,75,35,2 times per week
1996,Male,Bachelor's,Married,2.5 hours,500,1,Video,Music,60,22,Once per month
1991,Female,High School,Single,6 hours,1000,4,Text,Sports,85,38,Daily
1994,Male,Bachelor's,In a Relationship,4 hours,780,3,Image,Travel,95,45,3 times per week
1990,Female,Master's,Married,3 hours,720,2,Video,Gardening,50,20,Once every two months
1992,Male,High School,Single,5.5 hours,880,0,Text,Movies,75,30,4 times per week
2000,Female,Bachelor's,Single,4.5 hours,760,4,Image,"Reading, Travel",75,30,2 times per week
1993,Male,Master's,In a Relationship,3 hours,630,1,Video,"Cooking, Photography",80,35,Daily
1997,Female,Bachelor's,Married,5 hours,900,0,Text,"Sports, Music",60,25,Once per month
1990,Male,High School,Single,4.5 hours,820,5,Image,"Photography, Dancing",85,38,3 times per week
1994,Female,Bachelor's,In a Relationship,3.5 hours,700,3,Video,"Music, Movies",95,42,Daily
1990,Male,Master's,Divorced,4 hours,750,2,Text,"Reading, Cooking",20,8,Once per year
1991,Female,High School,Single,6.5 hours,970,0,Image,"Sports, Gaming",70,32,2 times per week
1996,Male,Bachelor's,Married,4 hours,800,4,Video,"Painting, Music",65,22,Once per month
2001,Female,Master's,Single,2.5 hours,550,1,Text,"Travel, Dance",90,40,3 times per week
1990,Male,Bachelor's,In a Relationship,5 hours,850,2,Image,"Reading, Sports",85,45,Daily
2006,Female,High School,Married,4.5 hours,780,3,Video,"Gardening, Movies",55,20,Once every two months
2002,Male,Bachelor's,Single,3 hours,630,2,Text,"Movies, Music",75,30,4 times per week
1991,Female,Master's,In a Relationship,4.5 hours,820,5,Image,"Dancing, Photography",85,40,Daily
1994,Male,High School,Single,3.5 hours,700,3,Video,"Reading, Travel",75,30,2 times per week
1998,Female,Bachelor's,In a Relationship,4 hours,750,2,Text,"Cooking, Photography",80,35,Daily
1990,Male,Master's,Married,6 hours,970,5,Image,"Sports, Music",60,25,Once per month
1996,Female,Bachelor's,Single,4 hours,800,4,Video,"Photography, Dancing",85,38,3 times per week
1997,Female,Bachelor's,In a Relationship,2.5 hours,600,3,Image,"Music, Movies",95,42,Daily
1991,Male,Master's,Divorced,1.5 hours,100,1,Text,"Reading, Cooking",20,8,Once per year
1999,Female,High School,Single,4 hours,800,5,Video,"Sports, Gaming",70,32,2 times per week
1988,Male,Doctoral,Married,1 hour,50,0,Text,"Painting, Music",65,22,Once per month
1994,Female,Bachelor's,Single,3 hours,700,3,Image,"Travel, Dance",90,40,Daily
1990,Male,Master's,In a Relationship,2 hours,150,1,Text,"Reading, Sports",85,45,Once every two months
1998,Female,High School,Married,4.5 hours,1000,4,Video,"Gardening, Movies",55,20,Once every two months
2001,Male,Bachelor's,Single,3.5 hours,500,2,Image,"Movies, Music",75,30,4 times per week
1997,Female,Master's,In a Relationship,2 hours,300,2,Text,"Dancing, Photography",85,40,Daily
1993,Male,Doctoral,Single,1.5 hours,150,1,Text,"Reading, Travel",75,30,2 times per week
2000,Female,High School,In a Relationship,5 hours,900,5,Video,"Cooking, Photography",80,35,Daily
1995,Male,Bachelor's,Single,5.5 hours,800,3,Image,"Technology, Travel",60,25,Twice a week
1993,Female,Master's,Married,3 hours,300,2,Video,"Cooking, Photography",20,8,Once a month
1990,Female,Bachelor's,In a relationship,4 hours,600,5,Text,"Fashion, Fitness",70,32,Once every two weeks
1990,Male,High School,Divorced,2.5 hours,200,1,Image,"Food, Movies",15,5,Once every three months
1999,Female,High School,Single,6 hours,1200,6,Video,"Music, Gaming",55,22,Once a day
1990,Male,Doctoral,Married,1 hour,100,0,Text,"Literature, History",10,3,Once every six months
2000,Male,Bachelor's,Single,4 hours,700,4,Video,"Sports, Technology",80,35,Once every two days
1992,Female,Master's,In a relationship,3.5 hours,500,3,Text,"Art, Literature",45,18,Once a week
1985,Male,Unknown,Married,3 hours,400,2,Image,"Travel, Photography",25,10,Once every month
2003,Female,High School,Single,5 hours,1000,5,Video,"Fashion, Dance",70,28,Three times a week
1997,Male,Bachelor's,Single,4 hours,700,3,Video,"Technology, Travel",55,20,Twice a week
1990,Female,Master's,Married,3.5 hours,500,2,Text,"Cooking, Photography",25,10,Once a month
1992,Female,Bachelor's,In a relationship,5 hours,600,4,Image,"Fashion, Fitness",70,30,Once every two weeks
1990,Male,High School,Divorced,2 hours,200,1,Video,"Food, Movies",15,5,Once every three months
2000,Female,High School,Single,6 hours,1200,6,Text,"Music, Gaming",50,25,Once a day
1990,Male,Doctoral,Married,1 hour,100,0,Image,"Literature, History",10,3,Once every six months
2001,Male,Bachelor's,Single,4 hours,700,4,Video,"Sports, Technology",80,35,Once every two days
1993,Female,Master's,In a relationship,4 hours,500,3,Text,"Art, Literature",45,18,Once a week
1990,Male,Unknown,Married,3 hours,400,2,Image,"Travel, Photography",25,10,Once every month
2004,Female,High School,Single,5 hours,1000,5,Video,"Fashion, Dance",70,28,Three times a week
1997,Female,Bachelor's,Single,4.5 hours,800,2,Video,"Gaming, Anime",70,30,Daily
1995,Male,Master's,Married,2.5 hours,200,1,Image,"Science, History",5,10,Once per month
1995,Female,High School,In a Relationship,3 hours,500,3,Text,"Art, Literature",50,20,2 times per week
1989,Male,Bachelor's,Single,2.5 hours,300,1,Video,"Business, Finance",15,6,Once per quarter
1997,Female,High School,Single,4 hours,1000,5,Video,"Social Media, Travel",55,28,Daily
1991,Male,Bachelor's,Married,3.5 hours,700,6,Text,"Music, Literature",90,38,Once every two months
1993,Female,Bachelor's,In a Relationship,5.5 hours,1200,8,Image,"Sports, Gaming",85,45,Daily
1990,Male,High School,Single,3 hours,950,4,Video,"Social Media, Dance",95,40,3 times per week
1996,Female,Bachelor's,Single,4 hours,950,2,Text,"Dance, K-Pop",50,30,Daily
1990,Male,Bachelor's,Married,2 hours,200,2,Video,"Cooking, Gardening",40,20,Once every three months
1994,Female,High School,Single,4 hours,600,1,Image,"Travel, Photography",35,15,2 times per week
1995,Female,Bachelor's,In a Relationship,5.5 hours,800,3,Image,"Fashion, Makeup",60,25,Once per week
1998,Male,Master's,Married,2.5 hours,300,2,Text,Technology,15,8,Once per month
2001,Female,Bachelor's,Single,4 hours,700,5,Video,"Food, Cooking",70,30,2 times per week
2000,Male,High School,Single,3 hours,500,2,Text,"Gaming, Music",40,20,Once per month
1993,Female,Master's,In a Relationship,6 hours,1200,6,Video,"Fitness, Yoga",90,35,3 times per week
1990,Male,Bachelor's,Married,4 hours,600,4,Image,"Reading, Writing",55,22,Once every two weeks
1997,Female,Bachelor's,Single,3.5 hours,900,3,Video,"Travel, Adventure",50,18,Once per month
1990,Male,Doctoral,Married,1.5 hours,200,1,Text,"History, Politics",20,10,Once per quarter
1991,Female,High School,Single,5 hours,1000,2,Image,"Movies, TV Shows",65,27,Once every two weeks
2000,Male,Bachelor's,In a Relationship,2 hours,400,1,Text,Music Production,30,15,Once per month
1990,Male,Master's,Single,4 hours,700,2,Image,"Technology, Photography",40,20,Once per week
1995,Female,Bachelor's,Married,3 hours,800,3,Text,"Fashion, Cooking",30,15,Twice a week
1990,Male,High School,Single,5.5 hours,1200,5,Video,"Music, Film",55,25,Once per month
2000,Female,Bachelor's,In a Relationship,2.5 hours,500,1,Image,"Travel, Literature",25,10,Once every two weeks
1990,Male,Doctoral,Divorced,1.5 hours,200,0,Text,"History, Politics",15,5,Once every two months
1998,Female,Bachelor's,In a Relationship,4 hours,900,4,Video,"Art, Theater",50,30,Once a week
1990,Male,High School,Married,3 hours,600,2,Text,"Sports, Gaming",35,18,Once every three weeks
1994,Female,Master's,Single,4 hours,1000,3,Video,"Fashion, Travel",45,22,Twice a month
1990,Male,Bachelor's,Single,2 hours,300,1,Image,"Technology, Gaming",20,8,Once a month
1992,Female,High School,In a Relationship,6 hours,1500,5,Text,"Music, Dance",60,35,Twice a week
2000,Female,High School,Single,5 hours,1000,1,Image,"Gaming, Anime",65,28,Daily
1990,Male,Doctoral,Married,1 hour,150,0,Text,"Science, History",0,5,Once per month
1998,Female,Bachelor's,In a Relationship,3.5 hours,600,4,Video,"Art, Literature",46,16,3 times per week
1990,Male,Master's,Divorced,2 hours,350,1,Text,"Business, Finance",10,4,Once per quarter
2002,Female,High School,Single,4.5 hours,1200,4,Video,"Social Media, Travel",51,26,Daily
1999,Male,Unknown,Married,4 hours,850,8,Video,"Music, Literature",101,42,Once every two months
1996,Female,Unknown,In a Relationship,6 hours,1400,9,Text,"Sports, Gaming",82,41,Daily
1990,Male,Unknown,Single,3.5 hours,900,3,Video,"Social Media, Dance",89,37,2 times per week
2001,Female,High School,Single,4 hours,900,1,Video,"Dance, K-Pop",45,26,Daily
2000,Male,Bachelor's,Married,1 hour,100,1,Text,"Cooking, Gardening",35,17,Once every three months
1995,Female,Master's,Single,2.5 hours,750,0,Image,"Technology, Fashion",78,31,Once per week
1990,Male,Bachelor's,In a Relationship,2 hours,500,2,Text,"Movies, Cooking",20,8,Once per month
1999,Female,Bachelor's,Married,4 hours,1100,5,Video,"Fashion, Travel",55,22,3 times per week
1995,Male,High School,Divorced,3 hours,800,4,Image,"Art, Music",40,14,2 times per week
1994,Female,Bachelor's,Single,3 hours,950,3,Video,"Fitness, Cooking",68,29,Daily
1995,Female,Bachelor's,Single,5.5 hours,800,2,Text,"Food, Fashion",55,21,Once per week
1990,Male,Master's,Married,3 hours,450,1,Image,"Technology, Fitness",20,9,Once per month
2000,Male,High School,In a Relationship,4 hours,1100,3,Video,"Music, Movies",60,31,2 times per week
1992,Female,Doctoral,Married,2 hours,200,0,Text,"History, Gardening",5,2,Once every two months
1998,Female,High School,Single,6 hours,1300,5,Video,"Travel, Cooking",70,35,Daily
1990,Male,Bachelor's,Divorced,2.5 hours,600,2,Image,"Sports, Reading",15,6,Once per month
2002,Female,High School,Single,3.5 hours,1000,2,Text,"Art, Music",40,18,3 times per week
1992,Male,Master's,In a Relationship,3 hours,400,1,Video,"Photography, Gaming",25,12,Once every two weeks
1993,Female,Bachelor's,Married,4.5 hours,900,4,Video,"Fashion, Travel",45,20,Once per week
1994,Male,Doctoral,Single,1.5 hours,300,0,Image,"Science, Technology",10,5,Once every three months
2000,Female,High School,Single,5 hours,1000,1,Image,"Gaming, Anime",65,28,Daily
1990,Male,Doctoral,Married,1 hour,150,0,Text,"Science, History",0,5,Once per month
1998,Female,Bachelor's,In a Relationship,3.5 hours,600,4,Video,"Art, Literature",46,16,3 times per week
1992,Male,Master's,Divorced,2 hours,350,1,Text,"Business, Finance",10,4,Once per quarter
2002,Female,High School,Single,4.5 hours,1200,4,Video,"Social Media, Travel",51,26,Daily
